PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
282,20,7,8,9,10,8,6,5,4,3,20,4,5,10,50,20,0,10,0,0,0,0,0,10,2,2,2,5,25000,5,35,1,44.73498233,84900,47.06493506,46200
304,21,19,17,15,12,6,3,2,2,2,1,1,2,34,62,4,0,0,0,0,0,0,0,0,4,5,3,2,25000,7,23,1,40.72522523,46620,17.01382488,19530
74,12,35,24,11,6,3,3,3,1,1,1,1,1,24,49,21,2,2,1,1,0,0,0,0,3,6,1,1,26000,5,26,2,38.22410682,41565,27.92840647,25980
103,15,21,30,15,7,4,3,2,1,1,1,1,1,30,39,27,2,1,1,0,0,0,0,0,4,5,3,3,26000,4,36,1,36.75862069,43500,27.67664671,25050
129,12,22,20,17,12,6,4,2,2,2,1,2,3,0,0,0,0,35,25,17,12,5,3,3,4,4,3,4,26000,4,26,1,37.48982072,49365,16.87613543,90825
21,20,19,10,8,8,7,6,6,6,5,5,3,3,0,40,50,0,0,10,0,0,0,0,0,5,5,1,3,28000,3,50,1,45.77234803,62925,23.25,36000
179,7,16,28,41,2,2,0,1,1,1,1,3,3,13,24,45,11,1,1,1,1,1,1,1,4,5,1,1,28000,2,49,1,27.28912467,45240,31.73930269,37860
186,4,5,11,20,16,12,10,8,5,4,5,4,4,8,16,20,29,24,3,0,0,0,0,0,4,4,3,4,28000,2,27,1,31.28062706,77505,25.05874674,45960
298,23,19,22,9,10,9,2,2,1,2,1,1,1,22,59,6,5,2,0,0,0,0,0,6,4,6,2,4,28000,4,30,1,41.41700405,44460,43.67198582,33840
305,12,17,22,18,14,6,4,3,2,1,1,4,4,9,14,21,29,15,9,3,0,0,0,0,1,2,3,5,29000,5,49,1,35.82883417,50565,27.49827424,47805
31,6,4,4,3,3,2,2,1,1,35,39,1,1,2,1,84,2,2,2,2,1,1,1,2,4,5,2,2,30000,1,51,2,24.90955318,138645,21.18647406,45690
32,6,10,10,18,19,11,10,5,3,4,4,7,4,0,21,13,22,10,15,9,3,2,1,4,1,1,3,6,30000,7,26,1,33.33700721,70770,33.58878505,64200
44,1,3,9,13,23,16,7,13,9,6,0,5,5,0,0,0,40,33,27,0,0,0,0,0,2,2,2,5,30000,1,30,2,24.42250139,81195,12.00228833,65550
107,4,7,10,12,18,13,11,9,8,6,2,4,4,0,0,0,40,35,10,5,5,5,0,0,2,4,3,3,30000,3,27,1,29.83218654,78480,16.89247312,69750
125,3,17,20,17,13,8,6,5,4,4,3,5,5,4,30,36,14,5,3,2,2,0,1,3,3,3,2,4,30000,5,42, ,35.83996256,64110,35.10967955,45405
138,4,8,57,20,5,1,1,1,1,1,1,4,4,4,10,86,0,0,0,0,0,0,0,0,4,4,2,4,30000,5,27,1,24.27901563,45105,8.315608919,34980
146,2,3,11,16,20,23,25,0,0,0,0,2,2,8,41,51,0,0,0,0,0,0,0,0,6,6,4,4,30000,5,38,2,20.14596671,70290,17.42579324,29310
187,20,30,0,50,0,0,0,0,0,0,0,5,5,21,12,14,12,15,11,4,6,1,1,3,4,5,1,1,30000,1,30,2,27.93220339,35400,40.98259924,55170
246,17,16,14,12,19,0,9,4,0,2,7,5,3,11,11,14,16,3,5,7,9,6,9,9,2,3,2,4,30000,5,22,1,43.61615655,59790,41.04887362,78570
277,11,17,21,22,5,5,5,3,3,2,6,3,3,0,30,30,40,0,0,0,0,0,0,0,4,4,1,2,30000,1,29,2,41.65065167,58695,19.30769231,39000
302,4,18,34,22,9,5,3,2,2,1,0,3,2,5,12,21,18,17,10,8,4,3,1,1,5,4,1,3,30000,5,40,1,29.69863014,48180,31.52882206,59850
60,6,13,19,16,13,19,4,2,5,2,1,4,4,10,20,23,0,30,0,15,0,0,0,2,5,5,1,3,31000,3,33,1,32.67265567,60945,35.3559322,53100
65,0,3,10,17,19,17,15,13,3,2,1,1,1,1,5,17,23,23,14,9,2,2,2,2,5,5,3,5,32000,7,26,1,23.14409222,78075,26.16342499,67095
182,17,13,5,31,34,0,0,0,0,0,0,3,4,35,40,25,0,0,0,0,0,0,0,0,4,5,1,2,32000,5,32,2,26.7694562,46065,25.03986711,22575
39,13,17,13,10,8,8,7,7,8,7,2,3,3,5,60,30,0,0,0,0,0,2,1,2,4,5,2,2,35000,1,28,1,40.67775515,66285,31.0496614,33225
88,12,29,20,14,12,10,2,1,0,0,0,6,4,20,31,49,0,0,0,0,0,0,0,0,3,5,1,4,35000,6,29,1,33.72301136,42240,21.56216216,27750
118,4,4,3,10,15,12,11,10,11,10,10,3,4,0,0,39,39,22,0,0,0,0,0,0,4,4,2,4,35000,3,29,2,29.30052292,97530,14.2972973,49950
119,15,20,40,10,3,0,5,2,1,2,2,1,1,10,20,40,20,10,0,0,0,0,0,0,6,6,1,1,35000,9,32,2,38.45111492,43725,24.64822134,37950
136,10,20,20,19,5,3,2,2,2,2,15,1,1,0,0,97,0,0,0,0,0,0,0,3,5,6,1,1,35000,1,35,2,46.49834254,67875,12.85435169,42225
200,21,20,18,12,8,6,4,4,3,2,2,1,1,22,41,37,0,0,0,0,0,0,0,0,6,6,1,2,35000,4,38,1,43.58001822,49395,22.58391608,25740
287,3,7,13,10,21,16,12,8,3,1,6,3,2,10,21,36,8,11,8,4,2,0,0,0,4,5,2,2,35000,1,27,2,30.54777194,77085,32.20205479,43800
257,8,18,15,19,11,7,4,4,4,5,5,3,4,20,25,20,15,10,10,0,0,0,0,0,4,4,3,3,36000,6,48,1,40.03622342,64185,34.6953125,38400
33,3,7,22,27,26,4,3,3,3,1,1,8,8,5,6,8,9,10,11,11,13,13,0,14,1,1,6,6,37000,6,69,1,26.79867144,58710,32.89548694,94725
130,4,10,13,14,13,13,12,9,6,4,2,1,1,0,10,33,5,6,17,9,0,3,10,7,5,6,1,5,37000,1,39,1,31.62627499,73530,36.18298714,75825
293,19,20,30,10,9,6,5,1,0,0,0,2,3,25,15,13,22,19,6,0,0,0,0,0,1,1,4,6,37000,9,25,2,35.39523632,40305,33.95009242,40575
43,19,18,10,10,9,11,6,7,6,1,3,4,3,0,1,16,32,43,5,0,0,0,3,0,4,5,2,2,38000,3,53,2,42.78843227,59130,16.66253102,60450
113,9,18,32,21,11,2,1,2,2,1,1,3,3,1,30,51,13,3,1,1,0,0,0,0,4,6,2,3,38000,3,32,2,32.80142303,46380,20.23291036,36645
135,43,13,4,3,3,2,2,1,2,6,21,4,4,0,82,18,0,0,0,0,0,0,0,0,4,4,3,4,38000,3,28,1,56.17495712,69960,10.78571429,25200
178,7,16,15,13,12,10,8,8,5,4,2,2,2,11,38,10,17,5,6,11,0,0,0,2,4,4,1,4,38000,1,26,2,36.42785731,66015,39.49192219,45495
29,3,9,18,21,17,12,9,5,3,2,1,7,3,0,15,37,37,0,0,11,0,0,0,0,4,5,1,4,39000,3,25,2,29.45167286,64560,23.2278481,47400
5,2,10,15,15,15,15,10,7,5,5,1,5,5,10,20,30,15,0,0,20,0,0,0,5,1,3,3,4,40000,8,58,1,30.15489415,71565,40.39805825,54075
20,16,12,16,16,9,4,5,5,5,6,6,1,1,13,3,4,4,4,3,2,1,2,3,61,6,6,1,1,40000,2,52,2,43.40979853,65520,28.5982411,139860
56,11,15,17,20,15,10,4,2,2,2,2,1,1,14,22,20,21,20,1,1,1,0,0,0,5,6,1,5,40000,4,60,1,35.93799079,55395,30.74386724,41580
63,5,19,45,14,5,4,3,2,1,1,1,1,1,20,50,15,10,2,2,0,0,0,0,1,6,6,2,4,40000,5,25,1,30.97039474,45600,32.55216285,29475
78,11,12,13,14,14,11,8,5,4,4,4,5,7,10,20,24,24,15,7,0,0,0,0,0,1,4,1,5,40000,8,63,1,37.90006737,66795,28.32291667,43200
82,4,7,11,5,1,8,5,8,15,13,23,2,3,2,14,50,30,4,0,0,0,0,0,0,5,5,2,5,40000,1,28,1,32.24583167,112455,17.18551367,40590
86,10,10,20,25,10,10,5,5,2,2,1,2,2,2,70,20,8,0,0,0,0,0,0,0,6,5,2,4,40000,3,38,1,33.79841897,56925,17.65113759,27690
96,15,14,11,9,7,7,7,6,9,8,7,5,6,10,60,20,10,0,0,0,0,0,0,0,2,3,3,6,40000,6,25,1,42.57056452,74400,21.83606557,27450
98,5,15,15,10,15,12,5,8,5,7,3,2,3,1,0,7,90,2,0,0,0,0,0,0,5,5,3,5,40000,7,29,2,35.95983087,70950,5.214431785,51345
100,6,10,16,14,13,12,11,10,4,3,1,5,5,10,17,25,19,15,14,0,0,0,0,0,4,4,2,2,40000,3,27,1,32.35207555,68295,29.23127036,46050
144,15,34,30,12,5,0,0,0,0,0,4,5,5,0,35,65,0,0,0,0,0,0,0,0,5,4,3,3,40000,9,35,2,37.88801572,38175,12.58139535,32250
170,24,49,22,1,0,1,1,0,1,1,0,1,1,20,20,36,17,4,0,0,1,1,1,0,6,6,3,4,40000,1,25,1,31.09933775,27180,31.9707113,35850
175,3,19,27,24,16,6,2,1,1,1,0,1,1,9,53,28,6,4,0,0,0,0,0,0,5,5,2,2,40000,5,34,2,27.86590979,48885,23.52938171,29355
177,9,13,27,18,11,7,5,3,3,2,2,3,3,2,5,29,36,17,8,3,0,0,0,0,3,4,1,3,40000,6,34,2,36.02023199,55605,20.34925201,52140
189,10,20,25,25,10,3,2,2,1,1,1,3,3,0,10,10,10,20,10,10,5,3,2,20,4,4,2,3,40000,5,51,1,33.3273906,46275,35.15948963,94050
204,10,10,12,13,14,10,8,7,6,6,4,9,9,0,0,5,15,20,10,10,10,10,10,10,1,1,6,6,40000,9,31,1,36.92307692,72150,26.58333333,99000
223,10,17,21,27,11,3,1,1,2,3,4,2,3,2,3,26,30,7,14,12,3,1,1,1,3,5,2,3,40000,4,45,2,37.94692737,53700,26.46455179,62415
224,10,0,40,28,22,0,0,0,0,0,0,5,4,7,5,4,6,7,8,10,9,36,8,0,3,4,3,4,40000,4,25,2,20.83934426,45750,25.10786942,95115
