"Participant","Trial","Condition","Time","DesiredResponse","ActualResponse","Angle","CorrectResponse"
"sub33",17,"R2_4_4_3_90Y100.pct",1236,"Different","Different",100,"Correct"
"sub33",18,"2_3_3_2_0Y150.pct",3230,"Same","Same",150,"Correct"
"sub33",19,"R2_3_4_2_90Y50.pct",3376,"Different","Different",50,"Correct"
"sub33",20,"2_3_4_2_90Y50.pct",1076,"Same","Same",50,"Correct"
"sub33",21,"R2_4_4_2_180Y100.pct",1524,"Different","Different",100,"Correct"
"sub33",22,"R2_4_4_2_0Y0.pct",966,"Different","Same",0,"Incorrect"
"sub33",23,"3_4_3_2_90Y0.pct",2172,"Same","Same",0,"Correct"
"sub33",24,"R3_3_3_2_0Y150.pct",3618,"Different","Different",150,"Correct"
"sub33",25,"R3_4_4_3_180Y150.pct",4434,"Different","Different",150,"Correct"
"sub33",26,"R3_4_3_3_180Y50.pct",3124,"Different","Different",50,"Correct"
"sub33",27,"3_4_3_3_180Y50.pct",2636,"Same","Same",50,"Correct"
"sub33",28,"3_3_3_3_90Y100.pct",2453,"Same","Same",100,"Correct"
"sub33",29,"2_4_4_2_180Y0.pct",2028,"Same","Same",0,"Correct"
"sub33",30,"R3_4_3_2_90Y0.pct",1607,"Different","Different",0,"Correct"
"sub33",31,"3_3_4_2_0Y150.pct",1466,"Same","Different",150,"Incorrect"
"sub33",32,"R3_3_4_2_0Y100.pct",NA,"Different","[N/A]",100,"Incorrect"
"sub33",33,"3_3_3_3_180Y50.pct",2624,"Same","Same",50,"Correct"
"sub33",34,"3_3_4_2_0Y100.pct",2460,"Same","Different",100,"Incorrect"
"sub33",35,"3_4_4_3_180Y150.pct",2499,"Same","Same",150,"Correct"
"sub33",36,"R3_3_3_3_180Y0.pct",1394,"Different","Different",0,"Correct"
"sub33",37,"3_4_3_3_180Y100.pct",2022,"Same","Same",100,"Correct"
"sub33",38,"R3_3_3_3_180Y150.pct",2520,"Different","Different",150,"Correct"
"sub33",39,"3_4_3_3_180Y0.pct",1039,"Same","Same",0,"Correct"
"sub33",40,"R3_3_3_3_90Y50.pct",1600,"Different","Different",50,"Correct"
"sub33",41,"2_4_4_3_90Y150.pct",1545,"Same","Same",150,"Correct"
"sub33",42,"R3_4_3_3_180Y0.pct",2432,"Different","Different",0,"Correct"
"sub33",43,"3_3_3_3_180Y100.pct",2186,"Same","Same",100,"Correct"
"sub33",44,"R2_3_4_2_90Y150.pct",1460,"Different","Different",150,"Correct"
"sub33",45,"R2_3_3_2_0Y50.pct",1678,"Different","Different",50,"Correct"
"sub33",46,"R2_3_4_2_90Y100.pct",1606,"Different","Different",100,"Correct"
"sub33",47,"3_4_4_3_180Y0.pct",1127,"Same","Same",0,"Correct"
"sub33",48,"3_4_4_3_180Y50.pct",1150,"Same","Same",50,"Correct"
"sub33",49,"R2_4_4_2_0Y100.pct",1164,"Different","Same",100,"Incorrect"
"sub33",50,"R2_3_3_2_0Y150.pct",1165,"Different","Different",150,"Correct"
"sub33",51,"3_3_4_2_0Y0.pct",1304,"Same","Same",0,"Correct"
"sub33",52,"R2_4_4_3_90Y0.pct",997,"Different","Different",0,"Correct"
"sub33",53,"3_4_4_3_180Y100.pct",1897,"Same","Same",100,"Correct"
"sub33",54,"R2_4_4_2_180Y50.pct",926,"Different","Different",50,"Correct"
"sub33",55,"3_3_3_2_0Y150.pct",2175,"Same","Same",150,"Correct"
"sub33",56,"2_4_4_2_0Y50.pct",928,"Same","Same",50,"Correct"
"sub33",57,"R2_4_4_2_0Y150.pct",1527,"Different","Same",150,"Incorrect"
"sub33",58,"R3_4_3_2_90Y100.pct",1100,"Different","Different",100,"Correct"
"sub33",59,"2_3_4_2_90Y150.pct",1549,"Same","Same",150,"Correct"
"sub33",60,"3_4_3_2_90Y100.pct",1456,"Same","Different",100,"Incorrect"
"sub33",61,"2_4_4_3_90Y0.pct",816,"Same","Same",0,"Correct"
"sub33",62,"R2_4_4_2_180Y0.pct",884,"Different","Different",0,"Correct"
"sub33",63,"R2_4_4_3_90Y50.pct",1122,"Different","Different",50,"Correct"
"sub33",64,"2_4_4_3_90Y50.pct",1063,"Same","Same",50,"Correct"
"sub33",65,"R2_4_4_2_180Y150.pct",1706,"Different","Different",150,"Correct"
"sub33",66,"3_3_3_3_90Y0.pct",1248,"Same","Same",0,"Correct"
"sub33",67,"3_3_3_3_180Y150.pct",1552,"Same","Same",150,"Correct"
"sub33",68,"R3_3_3_3_90Y0.pct",803,"Different","Different",0,"Correct"
"sub33",69,"R3_3_3_2_0Y50.pct",2346,"Different","Different",50,"Correct"
"sub33",70,"2_4_4_2_180Y50.pct",1192,"Same","Same",50,"Correct"
"sub33",71,"2_4_4_2_0Y100.pct",1063,"Same","Same",100,"Correct"
"sub33",72,"R3_3_3_2_0Y100.pct",2202,"Different","Different",100,"Correct"
"sub33",73,"2_3_4_2_90Y100.pct",1196,"Same","Same",100,"Correct"
"sub33",74,"R3_3_3_3_180Y100.pct",1535,"Different","Different",100,"Correct"
"sub33",75,"3_3_3_3_90Y150.pct",2659,"Same","Same",150,"Correct"
"sub33",76,"R3_3_4_2_0Y0.pct",2403,"Different","Same",0,"Incorrect"
"sub33",77,"3_3_3_2_0Y0.pct",1503,"Same","Same",0,"Correct"
"sub33",78,"3_3_3_2_0Y50.pct",1423,"Same","Different",50,"Incorrect"
"sub33",79,"R3_3_3_3_180Y50.pct",1959,"Different","Different",50,"Correct"
"sub33",80,"R3_3_3_3_90Y150.pct",1923,"Different","Same",150,"Incorrect"
"sub33",81,"R3_4_4_3_180Y50.pct",1699,"Different","Different",50,"Correct"
"sub33",82,"2_3_4_2_90Y0.pct",1073,"Same","Same",0,"Correct"
"sub33",83,"R3_3_4_2_0Y150.pct",5513,"Different","Different",150,"Correct"
"sub33",84,"3_3_4_2_0Y50.pct",1718,"Same","Same",50,"Correct"
"sub33",85,"2_4_4_2_180Y100.pct",1510,"Same","Same",100,"Correct"
"sub33",86,"R3_4_4_3_180Y0.pct",2651,"Different","Different",0,"Correct"
